audio_filepath,duration,num_words,num_characters
data/audio_processed\addingnoisetotheinputs.wav,80.987,1341,6835
data/audio_processed\addingnoisetotheoutputs.wav,472.058,838,4191
data/audio_processed\applicationsofencoderdecodermodels.wav,1304.911,3185,16539
data/audio_processed\aquickrecapoftrainingdeepneuralnetworks.wav,370.471,1153,6210
data/audio_processed\attentionmechanism.wav,1043.164,5217,26949
data/audio_processed\attentionmechanismcontd.wav,1043.164,373,2022
data/audio_processed\attentionoverimages.wav,147.257,2250,11805
data/audio_processed\backpropagationcomputinggradientswrthiddenunits.wav,2124.165,3359,16293
data/audio_processed\backpropagationcomputinggradientswrtparameters.wav,2124.165,1895,9301
data/audio_processed\backpropagationcomputinggradientswrttheoutputunits.wav,2124.165,2593,12487
data/audio_processed\backpropagationintuition.wav,2124.165,2565,13021
data/audio_processed\backpropagationpseudocode.wav,2124.165,1019,5390
data/audio_processed\backpropagationthroughtime.wav,513.389,2778,13752
data/audio_processed\batchnormalization.wav,1580.532,2978,16232
data/audio_processed\beatinghumansattheirowngamesliterally.wav,385.215,220,1246
data/audio_processed\betteractivationfunctions.wav,1486.631,5080,26767
data/audio_processed\betterinitializationstrategies.wav,1678.218,5019,25665
data/audio_processed\biasandvariance.wav,642.469,2106,11002
data/audio_processed\biascorrectioninadam.wav,821.983,1980,9671
data/audio_processed\biologicalneuron.wav,407.681,1153,6330
data/audio_processed\cnnssuccessstoriesonimagenet.wav,1048.656,3901,21306
data/audio_processed\cnnssuccessstoriesonimagenetcontd.wav,1238.293,443,2422
data/audio_processed\contoursmaps.wav,1115.181,1934,10137
data/audio_processed\contractiveautoencoders.wav,1567.365,1483,7800
data/audio_processed\convolutionalneuralnetworks.wav,736.185,3178,17081
data/audio_processed\convolutionalneuralnetworkscontd.wav,1007.138,3452,18249
data/audio_processed\createimagesfromembeddings.wav,617.461,1101,5797
data/audio_processed\datasetaugmentation.wav,1442.791,1139,6105
data/audio_processed\deepart.wav,668.429,1052,5303
data/audio_processed\deepdream.wav,369.542,1878,9928
data/audio_processed\deeplearningcs7015atypicalsupervisedmachinelearningsetup.wav,739.099,2979,15251
data/audio_processed\deeplearningcs7015learningparametersgradientdescent.wav,951.493,5088,25432
data/audio_processed\deeplearningcs7015learningparametersinfeasibleguesswork.wav,951.493,2264,10997
data/audio_processed\deeplearningcs7015linearlyseparablebooleanfunctions.wav,367.728,1029,5341
data/audio_processed\deeplearningcs7015representationpowerofanetworkofperceptrons.wav,367.728,2362,12186
data/audio_processed\deeplearningcs7015representationpowerofmultilayernetworkofsigmoidneurons.wav,1870.405,6240,32324
data/audio_processed\deeplearningcs7015sigmoidneuron.wav,799.536,2149,11048
data/audio_processed\denoisingautoencoders.wav,736.301,4683,24608
data/audio_processed\derivativeoftheactivationfunction.wav,2124.165,261,1243
data/audio_processed\dropout.wav,463.188,3200,17000
data/audio_processed\earlystopping.wav,280.54,2060,10849
data/audio_processed\eigenvaluedecompositon.wav,667.5,1710,8889
data/audio_processed\eigenvaluesandeigenvectors.wav,1058.733,3476,17668
data/audio_processed\ensemblemethods.wav,707.462,1331,7129
data/audio_processed\erroranderrorsurfaces.wav,649.11,697,3371
data/audio_processed\fasterhigherstronger.wav,201.778,424,2400
data/audio_processed\feedforwardneuralnetworksakamultilayerednetworkofneurons.wav,2124.165,3296,16969
data/audio_processed\findinginfluenceofinputpixelsusingbackpropagation.wav,370.633,1127,5653
data/audio_processed\foolingdeepconvolutionalneuralnetworks.wav,338.067,1257,6635
data/audio_processed\fromcatstoconvolutionalneuralnetworks.wav,467.008,550,3099
data/audio_processed\fromspringtowinterofai.wav,407.681,2607,14207
data/audio_processed\gradientdescentwithadaptivelearningrate.wav,821.983,6851,35545
data/audio_processed\guidedbackpropagation.wav,361.972,800,4334
data/audio_processed\hierarchicalattention.wav,680.503,3595,18095
data/audio_processed\howlstmsavoidtheproblemofvanishinggradients.wav,1869.11,1423,7497
data/audio_processed\howlstmsavoidtheproblemofvanishinggradientscontd.wav,1869.11,4610,23621
data/audio_processed\imageclassificationcontinuedgooglenetandresnet.wav,166.692,4479,23559
data/audio_processed\informationcontententropycrossentropy.wav,2124.165,7393,37036
data/audio_processed\introductiontoautoncoders.wav,3142.213,10263,51934
data/audio_processed\introductiontoencoderdecodermodels.wav,1304.911,4247,21970
data/audio_processed\l2regularization.wav,517.708,4098,21050
data/audio_processed\learningparamtersoffeedforwardneuralnetworksintuition.wav,2124.165,1191,6111
data/audio_processed\linearalgebrabasicdefinitions.wav,1058.733,2091,10718
data/audio_processed\linesearch.wav,821.983,1695,9031
data/audio_processed\linkbetweenpcaandautoencoders.wav,3142.213,2964,14665
data/audio_processed\longshorttermmemorylstmandgatedrecurrentunitsgrus.wav,547.43,6087,30718
data/audio_processed\mccullochpittsneuronthresholdinglogic.wav,441.616,2364,11969
data/audio_processed\momentumbasedgradientdescent.wav,1115.181,3304,17218
data/audio_processed\motivationfrombiologicalneurons.wav,275.153,1386,7589
data/audio_processed\needforsanity.wav,284.464,845,4518
data/audio_processed\nesterovacceleratedgradientdescent.wav,406.787,1918,9979
data/audio_processed\occlusionexperiments.wav,380.432,1227,6500
data/audio_processed\optimizationoverimages.wav,281.468,1894,9737
data/audio_processed\outputfunctionsandlossfunctions.wav,2124.165,4579,23464
data/audio_processed\parametersharingandtying.wav,372.305,183,1006
data/audio_processed\pcainterpretation2.wav,1531.143,2888,14265
data/audio_processed\pcainterpretation3.wav,1017.1,566,3046
data/audio_processed\pcainterpretation3contd.wav,231.906,284,1562
data/audio_processed\pcapracticalexample.wav,120.694,2095,11001
data/audio_processed\perceptronlearningalgorithm.wav,250.586,2438,12328
data/audio_processed\perceptrons.wav,808.689,1960,10118
data/audio_processed\principalcomponentanalysisanditsinterpretations.wav,574.946,4767,24304
data/audio_processed\proofofconvergenceofperceptronlearningalgorithm.wav,804.613,2460,12011
data/audio_processed\recaplearningparametersguessworkgradientdescent.wav,1115.181,1587,8410
data/audio_processed\recurrentneuralnetworks.wav,513.389,1925,9581
data/audio_processed\regularizationinautoencodersmotivation.wav,1048.818,2261,11608
data/audio_processed\relationbetweeninputsizeoutputsizeandfiltersize.wav,1098.509,2460,11912
data/audio_processed\selectivereadselectivewriteselectiveforgetthewhiteboardanalogy.wav,407.553,1886,9791
data/audio_processed\sequencelearningproblems.wav,513.389,1666,8691
data/audio_processed\singularvaluedecomposition.wav,721.347,4089,20957
data/audio_processed\somegorydetails.wav,653.592,1193,5740
data/audio_processed\sparseautoencoders.wav,736.301,1771,9105
data/audio_processed\stochasticandminibatchgradientdescent.wav,821.983,2351,12551
data/audio_processed\theconvolutionoperation.wav,1098.509,3635,18622
data/audio_processed\thecuriouscaseofsequences.wav,201.778,1131,6363
data/audio_processed\thedeeprevival.wav,813.24,1401,8011
data/audio_processed\themadness2013.wav,112.984,766,4441
data/audio_processed\theproblemofexplodingandvanishinggradients.wav,853.028,2047,10031
data/audio_processed\tipsforadjustinglearningrateandmomentum.wav,821.983,2222,11456
data/audio_processed\trainerrorvstesterror.wav,642.469,2074,10394
data/audio_processed\trainerrorvstesterrorrecap.wav,673.932,3384,16944
data/audio_processed\trueerrorandmodelcomplexity.wav,1070.343,1543,8343
data/audio_processed\unsupervisedpretraining.wav,370.471,4764,25544
data/audio_processed\visualizingfiltersofacnn.wav,385.355,1200,6385
data/audio_processed\visualizingpatcheswhichmaximallyactivateaneuron.wav,1359.942,1234,6457
